experiment,scheme,power_model,pidle,pdyn,dynamic_carbon_usage,idle_carbon_usage,total_carbon_usage
2,cap_fifo,model_3,0.3,0.7,7277361488.256739,18223036914.0,25500398402.256737
2,cap_partition,model_3,0.3,0.7,8668291265.871822,18168935955.0,26837227220.871822
2,cap_decima,model_3,0.3,0.7,7709046802.078747,18338799753.0,26047846555.078747
2,pcaps,model_3,0.3,0.7,6170746771.755599,18048886147.2,24219632918.9556
3,spark_fifo,model_3,0.3,0.7,14978403853.602034,16868507144.4,31846910998.002033
3,dynamic_partition,model_3,0.3,0.7,13497461535.746664,16773638400.0,30271099935.746666
3,decima,model_3,0.3,0.7,9549338163.245886,16592052240.0,26141390403.245888
3,green_hadoop,model_3,0.3,0.7,14396237952.51594,16877034316.8,31273272269.31594
3,cap_fifo,model_3,0.3,0.7,8133433387.863014,16765665120.0,24899098507.863014
3,cap_partition,model_3,0.3,0.7,10602034379.846432,17467627339.8,28069661719.64643
3,cap_decima,model_3,0.3,0.7,8845369656.711044,16734606960.0,25579976616.711044
3,pcaps,model_3,0.3,0.7,7171060850.365857,16640256480.0,23811317330.365856
4,spark_fifo,model_3,0.3,0.7,15432641200.627214,16314339840.0,31746981040.627213
4,dynamic_partition,model_3,0.3,0.7,14855531951.176252,16316633040.0,31172164991.176254
4,decima,model_3,0.3,0.7,11239811292.68214,16279012800.0,27518824092.68214
4,green_hadoop,model_3,0.3,0.7,15319448389.616047,16310964720.0,31630413109.616047
4,cap_fifo,model_3,0.3,0.7,9338330051.12014,16530523920.0,25868853971.12014
4,cap_partition,model_3,0.3,0.7,10767205647.96826,16649123520.0,27416329167.96826
4,cap_decima,model_3,0.3,0.7,10420900455.896172,16260443760.0,26681344215.89617
4,pcaps,model_3,0.3,0.7,7990235047.613102,16319725920.0,24309960967.613102
5,spark_fifo,model_3,0.3,0.7,14766429301.862118,17163279009.0,31929708310.862118
5,dynamic_partition,model_3,0.3,0.7,13741458778.964,17162017200.0,30903475978.964
5,decima,model_3,0.3,0.7,9320477241.593018,17284625188.2,26605102429.79302
5,green_hadoop,model_3,0.3,0.7,13728705198.886864,17154964351.8,30883669550.686863
5,cap_fifo,model_3,0.3,0.7,8352968688.763902,17376750527.4,25729719216.163902
5,cap_partition,model_3,0.3,0.7,9387219142.685966,17355512289.6,26742731432.285965
5,cap_decima,model_3,0.3,0.7,8959186467.091,17320447281.6,26279633748.690998
5,pcaps,model_3,0.3,0.7,6574899820.608307,17221640995.8,23796540816.408306
1,spark_fifo,model_4,0.4,0.6,13191032593.608166,25048412040.0,38239444633.60817
1,dynamic_partition,model_4,0.4,0.6,12881689418.201864,25049095734.0,37930785152.201866
1,decima,model_4,0.4,0.6,8949078138.432304,25153473018.0,34102551156.432304
1,green_hadoop,model_4,0.4,0.6,12882376749.006016,25070766762.0,37953143511.00601
1,cap_fifo,model_4,0.4,0.6,8234782421.021961,25457198898.0,33691981319.02196
1,cap_partition,model_4,0.4,0.6,9362360574.252226,25459457160.0,34821817734.25223
1,cap_decima,model_4,0.4,0.6,8313496480.661983,25559628690.0,33873125170.661983
1,pcaps,model_4,0.4,0.6,6869028651.300236,25237898868.0,32106927519.300236
2,spark_fifo,model_4,0.4,0.6,11452502843.369911,24044979923.2,35497482766.569916
2,dynamic_partition,model_4,0.4,0.6,10917953104.404268,24031707937.6,34949661042.004265
2,decima,model_4,0.4,0.6,7697463786.210293,24049364768.0,31746828554.210293
2,green_hadoop,model_4,0.4,0.6,11231211104.345867,24023016548.8,35254227653.14587
2,cap_fifo,model_4,0.4,0.6,6237738418.506165,24297382552.0,30535120970.506165
2,cap_partition,model_4,0.4,0.6,7429963942.176327,24225247940.0,31655211882.176327
2,cap_decima,model_4,0.4,0.6,6607754401.782338,24451733004.0,31059487405.782337
2,pcaps,model_4,0.4,0.6,5289211518.648032,24065181529.6,29354393048.24803
3,spark_fifo,model_4,0.4,0.6,12838631874.516108,22491342859.2,35329974733.71611
3,dynamic_partition,model_4,0.4,0.6,11569252744.926004,22364851200.0,33934103944.926003
3,decima,model_4,0.4,0.6,8185146997.068261,22122736320.0,30307883317.06826
3,green_hadoop,model_4,0.4,0.6,12339632530.72779,22502712422.4,34842344953.12779
3,cap_fifo,model_4,0.4,0.6,6971514332.4543915,22354220160.0,29325734492.45439
3,cap_partition,model_4,0.4,0.6,9087458039.868269,23290169786.4,32377627826.268272
3,cap_decima,model_4,0.4,0.6,7581745420.0381775,22312809280.0,29894554700.038177
3,pcaps,model_4,0.4,0.6,6146623586.028064,22187008640.0,28333632226.028065
4,spark_fifo,model_4,0.4,0.6,13227978171.96634,21752453120.0,34980431291.96634
4,dynamic_partition,model_4,0.4,0.6,12733313101.00815,21755510720.0,34488823821.00815
4,decima,model_4,0.4,0.6,9634123965.15634,21705350400.0,31339474365.15634
4,green_hadoop,model_4,0.4,0.6,13130955762.528263,21747952960.0,34878908722.52826
4,cap_fifo,model_4,0.4,0.6,8004282900.960107,22040698560.0,30044981460.960106
4,cap_partition,model_4,0.4,0.6,9229033412.544394,22198831360.0,31427864772.544395
4,cap_decima,model_4,0.4,0.6,8932200390.768381,21680591680.0,30612792070.76838
4,pcaps,model_4,0.4,0.6,6848772897.954258,21759634560.0,28608407457.954258
5,spark_fifo,model_4,0.4,0.6,12656939401.595934,22884372012.0,35541311413.59593
5,dynamic_partition,model_4,0.4,0.6,11778393239.111893,22882689600.0,34661082839.11189
5,decima,model_4,0.4,0.6,7988980492.794464,23046166917.6,31035147410.394463
5,green_hadoop,model_4,0.4,0.6,11767461599.045866,22873285802.4,34640747401.44587
5,cap_fifo,model_4,0.4,0.6,7159687447.512195,23169000703.2,30328688150.712196
5,cap_partition,model_4,0.4,0.6,8046187836.588204,23140683052.8,31186870889.388203
5,cap_decima,model_4,0.4,0.6,7679302686.078242,23093929708.8,30773232394.878242
5,pcaps,model_4,0.4,0.6,5635628417.664274,22962187994.4,28597816412.064278
1,spark_fifo,model_5,0.5,0.5,10992527161.339994,31310515050.0,42303042211.34
1,dynamic_partition,model_5,0.5,0.5,10734741181.835045,31311369667.5,42046110849.335045
1,decima,model_5,0.5,0.5,7457565115.360013,31441841272.5,38899406387.860016
1,green_hadoop,model_5,0.5,0.5,10735313957.505127,31338458452.5,42073772410.00513
1,cap_fifo,model_5,0.5,0.5,6862318684.184982,31821498622.5,38683817306.68498
1,cap_partition,model_5,0.5,0.5,7801967145.20985,31824321450.0,39626288595.209854
1,cap_decima,model_5,0.5,0.5,6927913733.884828,31949535862.5,38877449596.38483
1,pcaps,model_5,0.5,0.5,5724190542.750004,31547373585.0,37271564127.75
2,spark_fifo,model_5,0.5,0.5,9543752369.474995,30056224904.0,39599977273.47499
2,dynamic_partition,model_5,0.5,0.5,9098294253.670115,30039634922.0,39137929175.67011
2,decima,model_5,0.5,0.5,6414553155.17518,30061705960.0,36476259115.17518
2,green_hadoop,model_5,0.5,0.5,9359342586.95501,30028770686.0,39388113272.95501
2,cap_fifo,model_5,0.5,0.5,5198115348.75488,30371728190.0,35569843538.75488
2,cap_partition,model_5,0.5,0.5,6191636618.479946,30281559925.0,36473196543.47995
2,cap_decima,model_5,0.5,0.5,5506462001.485154,30564666255.0,36071128256.48515
2,pcaps,model_5,0.5,0.5,4407676265.539932,30081476912.0,34489153177.53993
3,spark_fifo,model_5,0.5,0.5,10698859895.430193,28114178574.0,38813038469.43019
3,dynamic_partition,model_5,0.5,0.5,9641043954.10503,27956064000.0,37597107954.10503
3,decima,model_5,0.5,0.5,6820955830.890054,27653420400.0,34474376230.89005
3,green_hadoop,model_5,0.5,0.5,10283027108.939981,28128390528.0,38411417636.93998
3,cap_fifo,model_5,0.5,0.5,5809595277.044929,27942775200.0,33752370477.04493
3,cap_partition,model_5,0.5,0.5,7572881699.890055,29112712233.0,36685593932.89005
3,cap_decima,model_5,0.5,0.5,6318121183.364871,27891011600.0,34209132783.364872
3,pcaps,model_5,0.5,0.5,5122186321.689924,27733760800.0,32855947121.689926
4,spark_fifo,model_5,0.5,0.5,11023315143.305067,27190566400.0,38213881543.30507
4,dynamic_partition,model_5,0.5,0.5,10611094250.839962,27194388400.0,37805482650.839966
4,decima,model_5,0.5,0.5,8028436637.630106,27131688000.0,35160124637.630104
4,green_hadoop,model_5,0.5,0.5,10942463135.440025,27184941200.0,38127404335.440025
4,cap_fifo,model_5,0.5,0.5,6670235750.799924,27550873200.0,34221108950.799923
4,cap_partition,model_5,0.5,0.5,7690861177.119918,27748539200.0,35439400377.11992
4,cap_decima,model_5,0.5,0.5,7443500325.639911,27100739600.0,34544239925.63991
4,pcaps,model_5,0.5,0.5,5707310748.294902,27199543200.0,32906853948.294903
5,spark_fifo,model_5,0.5,0.5,10547449501.329866,28605465015.0,39152914516.329865
5,dynamic_partition,model_5,0.5,0.5,9815327699.259933,28603362000.0,38418689699.25993
5,decima,model_5,0.5,0.5,6657483743.994931,28807708647.0,35465192390.994934
5,green_hadoop,model_5,0.5,0.5,9806217999.205053,28591607253.0,38397825252.205055
5,cap_fifo,model_5,0.5,0.5,5966406206.260062,28961250879.0,34927657085.26006
5,cap_partition,model_5,0.5,0.5,6705156530.489905,28925853816.0,35631010346.48991
5,cap_decima,model_5,0.5,0.5,6399418905.064918,28867412136.0,35266831041.06492
5,pcaps,model_5,0.5,0.5,4696357014.720016,28702734993.0,33399092007.720016
1,spark_fifo,model_6,0.6,0.4,8794021729.071983,37572618060.0,46366639789.07198
