Submeasurements | avg. watts @ 100%,Submeasurements | avg. watts @ active idle,P_idle_W,P_dyn_W,P_peak_W,ratio_Pidle_Ppeak,ratio_Pidle_Ppeak_percent,ratio_Pdyn_Ppeak,ratio_Pdyn_Ppeak_percent
46,22.2,22.200000,23.800000,46.000000,0.482609,48.260870,0.517391,51.739130
619,298,298.000000,321.000000,619.000000,0.481422,48.142165,0.518578,51.857835
118,56.7,56.700000,61.300000,118.000000,0.480508,48.050847,0.519492,51.949153
454,218,218.000000,236.000000,454.000000,0.480176,48.017621,0.519824,51.982379
260,124,124.000000,136.000000,260.000000,0.476923,47.692308,0.523077,52.307692
119,56.7,56.700000,62.300000,119.000000,0.476471,47.647059,0.523529,52.352941
254,121,121.000000,133.000000,254.000000,0.476378,47.637795,0.523622,52.362205
133,63.1,63.100000,69.900000,133.000000,0.474436,47.443609,0.525564,52.556391
336,159,159.000000,177.000000,336.000000,0.473214,47.321429,0.526786,52.678571
97.1,45.9,45.900000,51.200000,97.100000,0.472709,47.270855,0.527291,52.729145
258,120,120.000000,138.000000,258.000000,0.465116,46.511628,0.534884,53.488372
302,139,139.000000,163.000000,302.000000,0.460265,46.026490,0.539735,53.973510
193,88.5,88.500000,104.500000,193.000000,0.458549,45.854922,0.541451,54.145078
264,121,121.000000,143.000000,264.000000,0.458333,45.833333,0.541667,54.166667
192,87.7,87.700000,104.300000,192.000000,0.456771,45.677083,0.543229,54.322917
2799,1278,1278.000000,1521.000000,2799.000000,0.456592,45.659164,0.543408,54.340836
70.3,32,32.000000,38.300000,70.300000,0.455192,45.519203,0.544808,54.480797
70.2,31.9,31.900000,38.300000,70.200000,0.454416,45.441595,0.545584,54.558405
769,348,348.000000,421.000000,769.000000,0.452536,45.253576,0.547464,54.746424
894,403,403.000000,491.000000,894.000000,0.450783,45.078300,0.549217,54.921700
302,136,136.000000,166.000000,302.000000,0.450331,45.033113,0.549669,54.966887
126,56.6,56.600000,69.400000,126.000000,0.449206,44.920635,0.550794,55.079365
152,68.1,68.100000,83.900000,152.000000,0.448026,44.802632,0.551974,55.197368
197,88.1,88.100000,108.900000,197.000000,0.447208,44.720812,0.552792,55.279188
198,88.2,88.200000,109.800000,198.000000,0.445455,44.545455,0.554545,55.454545
297,132,132.000000,165.000000,297.000000,0.444444,44.444444,0.555556,55.555556
138,60.7,60.700000,77.300000,138.000000,0.439855,43.985507,0.560145,56.014493
1897,833,833.000000,1064.000000,1897.000000,0.439114,43.911439,0.560886,56.088561
85.2,37.2,37.200000,48.000000,85.200000,0.436620,43.661972,0.563380,56.338028
291,127,127.000000,164.000000,291.000000,0.436426,43.642612,0.563574,56.357388
961,418,418.000000,543.000000,961.000000,0.434964,43.496358,0.565036,56.503642
304,132,132.000000,172.000000,304.000000,0.434211,43.421053,0.565789,56.578947
172,73.1,73.100000,98.900000,172.000000,0.425000,42.500000,0.575000,57.500000
60.9,25.8,25.800000,35.100000,60.900000,0.423645,42.364532,0.576355,57.635468
293,124,124.000000,169.000000,293.000000,0.423208,42.320819,0.576792,57.679181
178,74.6,74.600000,103.400000,178.000000,0.419101,41.910112,0.580899,58.089888
232,97.1,97.100000,134.900000,232.000000,0.418534,41.853448,0.581466,58.146552
